Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank, Fyodor Dostoyevsky","=""""","=""""",0,Penguin,Paperback,671,2002,1866,,2019/12/29,to-read,to-read (#9),to-read,,,,0,0
1836303,El extranjero,Albert Camus,"Camus, Albert",José Ángel Valente,"=""""","=""""",4,Alianza Editorial,Unknown Binding,124,1999,1942,2019/12/26,2019/12/29,,,read,"Quizá sea por la indiferencia hacia todo del personaje principal, con la que me siento identificado, o quizá porque este libro es mainstream entre los lectores y es un “clásico” de la literatura universal, pero este libro me ha gustado bastante.<br/>El problema de los clásicos es ese, que genera una expectativa inalcanzable en la mayoría de los casos. En esta ocasión, creo que las expectativas se cumplen. El extranjero es un libro contado por una persona simple, el señor Meursault, carente de ambiciones pero que disfruta de la vida, al menos eso se repite continuamente. ",,,1,0
2021537,Ventajas de viajar en tren,Antonio Orejudo,"Orejudo, Antonio",,"=""8420441732""","=""9788420441733""",2,Alfaguara,Paperback,148,2000,2001,2019/12/29,2019/12/03,,,read,"Libro bastante escatológico y explícito. Me esperaba un libro más orientado al análisis psicológico, pero me encontré un escritor que se deleita en lo explícito... La narrativa es floja, con capítulos interminables y diálogos que generan ansiedad (ese es el único punto psicológico del libro, a parte de lo absurdo del relato). <br/>Tampoco entiendo esa obsesión por los finales abiertos que últimamente intentan dejar los autores.<br/>Quizá, al cabo de unos días o meses, cuando madure un poco la resaca lectora entienda mejor el libro.",,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,Simon & Schuster,Mass Market Paperback,249,2011,1963,,2019/12/09,to-read,to-read (#8),to-read,,,,0,0
509784,The End of Eternity,Isaac Asimov,"Asimov, Isaac",Apostol András,"=""0449016196""","=""9780449016190""",5,Fawcett Crest,Mass Market Paperback,192,1971,1955,2019/12/09,2019/12/02,,,read,"La forma en la que explica los viajes en el tiempo Asimov en este libro te hace plantearte cambiar de opinión en muchos sentidos sobre lo que hasta ahora te habían dicho. Aunque el eje del libro es una historia de amor, en ningún momento se hace ñoña para los machotes aficionados a la ciencia ficción, así que no os preocupéis que vuestra virilidad no está en juego.",,,1,0
370523,Cien años de soledad,Gabriel García Márquez,"Márquez, Gabriel García",,"=""8420471836""","=""9788420471839""",3,Alfaguara,Hardcover,747,2007,1967,,2019/12/02,,,read,Menos de lo que esparaba. Definitivamente el realismo mágico no es mi género. ,,,2,0
386162,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,Del Rey,Paperback,193,2007,1979,2019/10/09,2019/01/23,,,read,,,,1,0
12338231,Mañana lo dejo,Pedro García Aguado,"Aguado, Pedro García",,"=""8496998568""","=""9788496998568""",0,Bresca,Paperback,157,2008,2008,,2019/05/31,to-read,to-read (#7),to-read,,,,0,0
21451588,El jilguero,Donna Tartt,"Tartt, Donna",Aurora Echevarría,"=""8426422438""","=""9788426422439""",0,Lumen,Hardcover,1152,2014,2013,,2019/05/30,to-read,to-read (#6),to-read,,,,0,0
40016174,La trampa de la diversidad,Daniel Bernabé,"Bernabé, Daniel",,"=""""","=""""",0,,Unknown Binding,256,2018,2018,,2019/05/27,to-read,to-read (#5),to-read,,,,0,0
